Parameter,Value,Settling_Time
Ki,0.1,5.5204600383365285
Ki,0.2,8.100675056254689
Ki,0.3,8.440703391949329
Ki,0.4,15.911325943828654
Ki,0.5,22.111842653554465
Ki,0.6,43.92366030502542
Ki,0.7,120.0
