Parameter,Value,Settling_Time
Kd,0.3,120.0
Kd,0.4,40.34336194682891
Kd,0.5,22.051837653137763
Kd,0.6000000000000001,15.581298441536795
Kd,0.7,12.48104008667389
Kd,0.8,13.641136761396783
Kd,0.9000000000000001,9.610800900075006
Kd,1.0,10.340861738478207
Kd,1.1,11.120926743895325
Kd,1.2,11.910992582715227
Kd,1.3,12.62105175431286
Kd,1.4000000000000001,13.18109842486874
Kd,1.5000000000000002,13.591132594382866
Kd,1.6,14.041170097508127
Kd,1.7000000000000002,14.411200933411118
Kd,1.8,14.821235102925245
Kd,1.9000000000000001,14.89124093674473
Kd,2.0,15.971330944245354
Kd,2.1,16.541378448204018
Kd,2.2,16.921410117509794
Kd,2.3,17.36144678723227
Kd,2.4,17.791482623551964
Kd,2.5,18.221518459871657
Kd,2.6,18.591549295774648
Kd,2.7,18.87157263105259
Kd,2.8,19.22160180015001
Kd,2.9,19.591632636053006
Kd,3.0,19.901658471539296
