Parameter,Value,Settling_Time
Kd,0.3,62.20518376531378
Kd,0.4,21.881823485290443
Kd,0.5,15.661305108759064
Kd,0.6000000000000001,12.581048420701725
Kd,0.7,14.081173431119261
Kd,0.8,9.660805067088925
Kd,0.9000000000000001,10.510875906325527
Kd,1.0,11.440953412784399
Kd,1.1,12.321026752229352
Kd,1.2,13.061088424035336
Kd,1.3,12.06100508375698
Kd,1.4000000000000001,7.4106175514626225
Kd,1.5000000000000002,7.710642553546129
Kd,1.6,8.010667555629636
Kd,1.7000000000000002,8.30069172431036
Kd,1.8,8.590715892991083
Kd,1.9000000000000001,8.870739228269024
Kd,2.0,9.120760063338611
Kd,2.1,9.370780898408201
Kd,2.2,9.62080173347779
Kd,2.3,9.860821735144595
Kd,2.4,10.090840903408617
Kd,2.5,10.310859238269856
Kd,2.6,19.561630135844656
Kd,2.7,19.901658471539296
Kd,2.8,20.321693474456207
Kd,2.9,20.59171597633136
Kd,3.0,20.901741811817654
