Kp,Ki,Kd,Settling_Time
0.8,0.1,0.3,9.160763396949747
0.8,0.1,0.4,6.150512542711893
0.8,0.1,0.5,6.750562546878907
0.8,0.1,0.6000000000000001,12.371030919243271
0.8,0.1,0.7,12.331027585632137
0.8,0.1,0.8,12.62105175431286
0.8,0.1,0.9000000000000001,13.571130927577299
0.8,0.1,1.0,15.351279273272773
0.8,0.1,1.1,17.67147262271856
0.8,0.1,1.2,20.171680973414453
0.8,0.1,1.3,22.651887657304776
0.8,0.1,1.4000000000000001,24.252021001750148
0.8,0.1,1.5000000000000002,25.502125177098094
0.8,0.1,1.6,26.572214351195935
0.8,0.1,1.7000000000000002,27.082256854737896
0.8,0.1,1.8,27.382281856821404
0.8,0.1,1.9000000000000001,27.862321860155014
0.8,0.1,2.0,28.27235602966914
0.8,0.1,2.1,28.602383531961
0.8,0.1,2.2,28.7823985332111
0.8,0.1,2.3,4.530377531460955
0.8,0.1,2.4,4.680390032502709
0.8,0.1,2.5,4.840403366947246
0.8,0.1,2.6,4.9704142011834325
0.8,0.1,2.7,5.120426702225186
0.8,0.1,2.8,5.250437536461372
0.8,0.1,2.9,5.380448370697558
0.8,0.1,3.0,5.510459204933745
0.8,0.2,0.3,13.671139261605134
0.8,0.2,0.4,9.580798399866657
0.8,0.2,0.5,10.990915909659138
0.8,0.2,0.6000000000000001,6.620551712642721
0.8,0.2,0.7,7.260605050420868
0.8,0.2,0.8,8.140678389865823
0.8,0.2,0.9000000000000001,8.940745062088508
0.8,0.2,1.0,9.650804233686141
0.8,0.2,1.1,10.43086923910326
0.8,0.2,1.2,11.19093257771481
0.8,0.2,1.3,11.910992582715227
0.8,0.2,1.4000000000000001,12.561046753896159
0.8,0.2,1.5000000000000002,13.291107592299358
0.8,0.2,1.6,13.821151762646888
0.8,0.2,1.7000000000000002,14.3011917659805
0.8,0.2,1.8,14.801233436119677
0.8,0.2,1.9000000000000001,15.251270939244938
0.8,0.2,2.0,15.641303441953497
0.8,0.2,2.1,16.04133677806484
0.8,0.2,2.2,16.391365947162264
0.8,0.2,2.3,16.77139761646804
0.8,0.2,2.4,17.091424285357114
0.8,0.2,2.5,17.381448454037837
0.8,0.2,2.6,17.731477623135262
0.8,0.2,2.7,18.041503458621552
0.8,0.2,2.8,18.331527627302275
0.8,0.2,2.9,18.631552629385784
0.8,0.2,3.0,18.90157513126094
0.8,0.3,0.3,25.04208684057005
0.8,0.3,0.4,18.551545962163516
0.8,0.3,0.5,15.191265938828236
0.8,0.3,0.6000000000000001,10.38086507208934
0.8,0.3,0.7,11.730977581465122
0.8,0.3,0.8,6.800566713892825
0.8,0.3,0.9000000000000001,7.300608384032003
0.8,0.3,1.0,7.7806483873656145
0.8,0.3,1.1,8.290690890907577
0.8,0.3,1.2,8.75072922743562
0.8,0.3,1.3,9.240770064172015
0.8,0.3,1.4000000000000001,9.690807567297275
0.8,0.3,1.5000000000000002,10.130844237019753
0.8,0.3,1.6,10.550879239936663
0.8,0.3,1.7000000000000002,10.950912576048005
0.8,0.3,1.8,11.33094424535378
0.8,0.3,1.9000000000000001,11.680973414451206
0.8,0.3,2.0,12.011000916743063
0.8,0.3,2.1,12.34102841903492
0.8,0.3,2.2,12.651054254521211
0.8,0.3,2.3,12.941078423201935
0.8,0.3,2.4,13.241103425285441
0.8,0.3,2.5,13.531127593966165
0.8,0.3,2.6,13.781148429035754
0.8,0.3,2.7,14.061171764313693
0.8,0.3,2.8,14.311192599383283
0.8,0.3,2.9,14.571214267855655
0.8,0.3,3.0,14.791232602716894
0.8,0.4,0.3,120.0
0.8,0.4,0.4,27.442286857238106
0.8,0.4,0.5,22.331860988415702
0.8,0.4,0.6000000000000001,13.841153429452454
0.8,0.4,0.7,15.581298441536795
0.8,0.4,0.8,10.780898408200684
0.8,0.4,0.9000000000000001,11.700975081256772
0.8,0.4,1.0,12.671055921326777
0.8,0.4,1.1,13.611134261188433
0.8,0.4,1.2,14.461205100425037
0.8,0.4,1.3,15.251270939244938
0.8,0.4,1.4000000000000001,15.871322610217518
0.8,0.4,1.5000000000000002,16.531377614801233
0.8,0.4,1.6,17.13142761896825
0.8,0.4,1.7000000000000002,17.661471789315776
0.8,0.4,1.8,18.161513459454955
0.8,0.4,1.9000000000000001,18.691557629802485
0.8,0.4,2.0,19.161596799733314
0.8,0.4,2.1,19.55162930244187
0.8,0.4,2.2,20.001666805567133
0.8,0.4,2.3,20.401700141678475
0.8,0.4,2.4,20.841736811400953
0.8,0.4,2.5,21.211767647303944
0.8,0.4,2.6,21.551795982998584
0.8,0.4,2.7,21.911825985498794
0.8,0.4,2.8,22.271855987999
0.8,0.4,2.9,22.61188432369364
0.8,0.4,3.0,22.9419118259855
0.8,0.5,0.3,120.0
0.8,0.5,0.4,120.0
0.8,0.5,0.5,38.51320943411951
0.8,0.5,0.6000000000000001,25.69214101175098
0.8,0.5,0.7,17.97149762480207
0.8,0.5,0.8,19.901658471539296
0.8,0.5,0.9000000000000001,15.59129927493958
0.8,0.5,1.0,16.791399283273606
0.8,0.5,1.1,17.711475956329696
0.8,0.5,1.2,12.231019251604302
0.8,0.5,1.3,12.841070089174098
0.8,0.5,1.4000000000000001,13.421118426535545
0.8,0.5,1.5000000000000002,14.001166763896991
0.8,0.5,1.6,14.50120843403617
0.8,0.5,1.7000000000000002,15.011250937578133
0.8,0.5,1.8,15.501291774314527
0.8,0.5,1.9000000000000001,15.93132761063422
0.8,0.5,2.0,16.361363446953913
0.8,0.5,2.1,16.791399283273606
0.8,0.5,2.2,17.17143095257938
0.8,0.5,2.3,17.541461788482373
0.8,0.5,2.4,17.92149345778815
0.8,0.5,2.5,18.28152346028836
0.8,0.5,2.6,18.64155346278857
0.8,0.5,2.7,18.96158013167764
0.8,0.5,2.8,19.291607633969498
0.8,0.5,2.9,19.63163596966414
0.8,0.5,3.0,19.951662638553213
0.8,0.6,0.3,120.0
0.8,0.6,0.4,120.0
0.8,0.6,0.5,120.0
0.8,0.6,0.6000000000000001,61.185098758229856
0.8,0.6,0.7,33.62280190015835
0.8,0.6,0.8,26.982248520710062
0.8,0.6,0.9000000000000001,23.791982665222104
0.8,0.6,1.0,19.94166180515043
0.8,0.6,1.1,20.78173181098425
0.8,0.6,1.2,16.361363446953913
0.8,0.6,1.3,17.181431785982166
0.8,0.6,1.4000000000000001,17.9514959579965
0.8,0.6,1.5000000000000002,18.6815567963997
0.8,0.6,1.6,19.32161013417785
0.8,0.6,1.7000000000000002,19.94166180515043
0.8,0.6,1.8,20.52171014251188
0.8,0.6,1.9000000000000001,21.06175514626219
0.8,0.6,2.0,21.51179264938745
0.8,0.6,2.1,22.091840986748895
0.8,0.6,2.2,15.331277606467207
0.8,0.6,2.3,15.671305942161847
0.8,0.6,2.4,16.001333444453707
0.8,0.6,2.5,16.361363446953913
0.8,0.6,2.6,16.681390115842987
0.8,0.6,2.7,16.991415951329277
0.8,0.6,2.8,17.30144178681557
0.8,0.6,2.9,17.601466788899074
0.8,0.6,3.0,17.881490124177017
0.8,0.7,0.3,120.0
0.8,0.7,0.4,120.0
0.8,0.7,0.5,120.0
0.8,0.7,0.6000000000000001,120.0
0.8,0.7,0.7,106.34886240520044
0.8,0.7,0.8,40.72339361613468
0.8,0.7,0.9000000000000001,30.192516043003586
0.8,0.7,1.0,27.51229269105759
0.8,0.7,1.1,23.95199599966664
0.8,0.7,1.2,19.821651804317028
0.8,0.7,1.3,20.821735144595383
0.8,0.7,1.4000000000000001,21.751812651054255
0.8,0.7,1.5000000000000002,22.481873489457456
0.8,0.7,1.6,17.371447620635053
0.8,0.7,1.7000000000000002,17.941495124593718
0.8,0.7,1.8,18.521543461955165
0.8,0.7,1.9000000000000001,19.07158929910826
0.8,0.7,2.0,19.591632636053006
0.8,0.7,2.1,20.0816734727894
0.8,0.7,2.2,20.55171264272023
0.8,0.7,2.3,20.991749312442703
0.8,0.7,2.4,21.45178764897075
